SL. NO.,ASSETS TAG NO.,PART NO,No of Parts,Part Description,Part wt,runner wt,Ton,cycle time,Cummulative 2018,Jan-19,Cum Jan,Feb-19,Cum Feb,Mar-19,Cum Mar,Apr-19,Cum Apr,May-19,Cum May,Jun-19,Cum Jun,Jul-19,Cum Jul,Aug-19,Cum Aug,Sep-19,Cum Sep,Oct-19,Cum Oct,Nov-19,Cum Nov,Dec-19,Cum Dec,Cummulative 2019,Total Shots till Dec 2019
,,41002681,118,Insert for S.E Jar - Leaf with Insert (CB),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
,,41002254,119,Insert for S.E Jar - ECOPLUS with Insert (SAN),,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
93,72000293-0001,41000416,120,Super Extractor Lid Leaf,66,2.5,100,58,127344,5980,5980,7522,13502,13800,27302,13000,40302,8000,48302,11006,59308,6570,65878,17342,83220,0,83220,,83220,,83220,,83220,83220,210564
94,72001187-0001,43000220,121,Fan Small SM,9,4.25,80,40,35751,0,0,0,0,650,650,1200,1850,0,1850,,1850,,1850,1200,3050,,3050,,3050,,3050,,3050,3050,38801
,,43000336,122,Fan Small SM 110 V,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
95,72000578-0001,41200220,123,Stone Holder W.G,59.9,3.6,180,114,92861,52,52,0,52,0,52,0,52,0,52,,52,3598,3650,,3650,,3650,,3650,,3650,,3650,3650,96511
,,41200113,124,Stone Holder New,,,,,,,0,,,,,,,,,,,,,,,,,,0,,0,,0,0,0
96,72000950-0001,41001423,125,Switch Knob - Lavender,8.7,0.5,100,68,12023,0,0,0,0,700,700,0,700,300,1000,,1000,,1000,850,1850,,1850,,1850,,1850,,1850,1850,13873
97,72000625-0002,41000409,126,Rotary Switch Knob Leaf,8,1.5,40,35,0,,0,0,0,,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
98,72000625-0001,41000884,127,Rotary Switch Knob Leaf,8,1.5,40,35,99845,5966,5966,0,5966,4200,10166,3900,14066,6600,20666,6507,27173,1335,28508,3844,32352,3975,36327,,36327,,36327,,36327,36327,136172
